Benchmark,Min Version
check_equal_set_flag_0,0
collect_indices_equal_values_2,3
collect_indices_equal_values_3,2
copy_cust0,0
copy_nonzero_1,0
copy_positive_1,0
cust_swap,0
find1_3,0
find1_2,0
find_max_1,N/A
find_max_local_0,4
find_max_local_1,1
find_max_up_to_1,4
find_max_from_second_1,1*
find_min_1,N/A
find_min_local_0,4
find_min_local_1,1
find_min_up_to_1,4
cust_init_add,N/A
merge_interleave_2,4
nonseq_0,4
nonseq_1,4
partition-harder_0,1
partition-harder_1,1
partition-harder_2,2
partition-harder_3,3
partition-harder_4,2
partition-harder_5,3
partition_2,0
partition_3,0
partition_4,3
partition_5,3
partition_6,3
str_len_0,0
